time,HTWR AVG,CT Fan SPD,CTW Flow,HTW Flow
16560.0,74.19,74.9,3907.1,3085.0
16680.0,74.19,71.8,3700.8,2985.3
16800.0,74.19,68.4,3591.1,2907.5
16920.0,73.85,65.8,3591.1,2978.6
17040.0,73.85,65.6,3591.1,3049.9
17160.0,73.85,66.4,3591.1,3135.9
17280.0,73.85,67.3,3591.1,3000.2
17400.0,73.85,68.5,4152.3,2927.1
17520.0,73.85,69.9,4376.4,2994.4
17640.0,73.85,72.0,4271.4,3074.4
17760.0,74.21,72.9,4164.2,2983.6
17880.0,74.21,72.5,4055.1,2901.5
18000.0,74.21,72.0,4055.1,2980.5
18120.0,74.21,71.0,4055.1,3070.2
18240.0,74.21,70.7,4172.5,3023.1
18360.0,74.21,70.6,4655.3,2986.4
18480.0,74.21,71.5,4873.9,2948.1
18600.0,73.87,74.5,4873.9,2948.1
18720.0,73.87,76.3,4873.9,3035.3
18840.0,74.2,75.8,4482.6,3055.9
18960.0,74.36,72.9,4275.9,2994.6
19080.0,74.36,69.5,4171.4,2933.5
19200.0,74.36,67.8,4274.3,2972.5
19320.0,74.2,68.1,4274.3,3076.4
19440.0,73.88,69.7,4274.3,3020.0
19560.0,73.88,72.2,4274.3,2863.1
19680.0,73.88,72.9,4274.3,2952.5
19800.0,73.73,73.2,4274.3,3100.4
19920.0,73.73,73.1,4274.3,3051.3
20040.0,73.92,72.2,4274.3,2913.0
20160.0,73.76,72.0,4274.3,3379.9
20280.0,73.37,71.3,4274.3,3858.8
20400.0,74.42,71.2,4373.4,4152.4
20520.0,83.65,70.9,4918.7,4245.2
20640.0,94.64,74.4,5856.1,4223.1
20760.0,96.29,87.2,7144.6,4206.9
20880.0,96.29,99.2,8084.1,4312.3
21000.0,96.47,99.6,8250.4,3889.6
21120.0,96.84,99.6,8250.4,2865.5
21240.0,96.82,96.8,8870.8,3185.3
21360.0,90.91,99.6,9071.3,3262.1
21480.0,83.23,97.4,10481.1,3890.9
21600.0,77.31,97.8,12750.9,4230.7
21720.0,84.59,99.7,12993.2,4332.5
21840.0,94.62,99.5,12703.0,4348.7
21960.0,96.73,98.9,12534.6,4157.7
22080.0,96.73,98.9,11719.5,4034.2
22200.0,96.41,99.3,10332.9,3981.8
22320.0,96.41,98.7,8630.6,3958.8
22440.0,96.75,95.6,6820.6,3958.8
22560.0,97.47,88.3,6602.0,3963.1
22680.0,97.78,81.9,6602.0,3948.3
22800.0,97.78,80.4,6602.0,3981.3
22920.0,97.78,82.8,6602.0,4029.6
23040.0,97.78,87.5,6352.7,4029.6
23160.0,97.78,91.4,6139.0,4061.6
23280.0,97.78,93.8,6139.0,4044.5
23400.0,97.78,94.4,6447.9,4056.0
23520.0,97.78,94.1,7311.3,4073.9
23640.0,97.78,96.5,7953.2,4129.1
23760.0,97.78,98.2,7953.2,4185.5
23880.0,97.78,99.1,7732.1,4204.6
24000.0,97.78,99.1,6553.8,4145.1
24120.0,97.78,98.2,6701.0,4064.3
24240.0,97.45,96.8,7437.4,3986.9
24360.0,96.88,96.9,8214.9,3986.9
24480.0,96.73,98.3,8214.9,4089.9
24600.0,97.12,99.0,7872.9,4163.9
24720.0,97.12,99.2,7581.3,4163.9
24840.0,97.72,99.0,7581.3,4069.6
24960.0,97.72,98.7,7830.4,3996.7
25080.0,96.91,98.5,8182.4,3996.7
25200.0,96.52,98.6,8391.1,4035.5
25320.0,96.72,99.0,8391.1,4069.3
25440.0,97.28,99.2,8391.1,4094.1
25560.0,97.28,99.2,8391.1,4056.8
25680.0,97.11,99.1,8391.1,3983.9
25800.0,96.29,99.1,8391.1,3866.1
25920.0,95.94,99.1,8391.1,3847.9
26040.0,95.55,98.8,7976.8,3878.5
26160.0,95.55,98.5,7469.1,3894.6
26280.0,95.89,97.0,7234.4,3912.4
26400.0,96.04,94.1,7131.0,2835.2
26520.0,96.04,91.7,7131.0,2922.8
26640.0,94.68,90.6,5945.3,3186.9
26760.0,88.96,87.1,5118.0,3116.2
26880.0,81.49,80.6,5287.7,2814.8
27000.0,75.46,76.4,5287.7,3012.3
27120.0,74.44,75.2,5287.7,3104.1
27240.0,75.18,73.9,4897.7,3024.8
27360.0,74.7,71.8,4770.4,2911.3
27480.0,72.86,68.5,4770.4,2952.7
27600.0,72.54,66.3,4770.4,3034.1
27720.0,72.54,64.2,4770.4,3048.2
27840.0,72.92,62.7,4884.9,3014.6
27960.0,72.92,62.0,4884.9,3019.1
28080.0,71.97,61.7,4884.9,3332.7
28200.0,71.97,61.7,4764.1,3450.4
28320.0,72.37,62.0,4650.3,2984.6
28440.0,76.85,62.8,4650.3,3077.1
28560.0,84.86,63.0,4650.3,3058.5
28680.0,82.6,63.0,4650.3,3432.9
28800.0,73.51,65.4,4650.3,3813.6
28920.0,74.27,71.9,4650.3,4027.8
29040.0,86.82,78.0,4941.7,4096.7
29160.0,95.33,81.2,5845.7,4123.7
29280.0,96.6,86.7,7352.1,4140.2
29400.0,96.76,97.6,8427.3,4180.5
29520.0,96.76,99.7,8993.7,4286.5
29640.0,97.11,99.7,8993.7,4339.9
29760.0,97.65,97.2,9924.4,4287.6
29880.0,97.65,97.7,12841.0,4218.8
30000.0,97.49,98.0,13882.2,4140.3
30120.0,97.13,99.8,13975.9,4165.6
30240.0,96.98,99.8,13858.2,4256.6
30360.0,97.64,99.8,13858.2,4293.1
30480.0,97.96,99.8,13858.2,4277.2
30600.0,98.28,99.8,13858.2,4277.2
30720.0,97.92,99.8,13978.3,4189.4
30840.0,97.58,99.8,13869.0,4074.7
30960.0,97.21,99.8,13406.0,4039.6
31080.0,97.21,99.8,13078.6,4023.8
31200.0,97.21,99.8,12136.6,4023.8
31320.0,97.21,99.8,11178.2,4023.8
31440.0,97.36,99.6,9983.2,4067.0
31560.0,97.67,99.4,8693.2,3971.7
31680.0,97.67,98.2,7839.3,3849.7
31800.0,96.97,96.0,7219.9,3886.0
31920.0,94.62,93.3,7103.8,4051.1
32040.0,95.81,92.3,6830.6,4114.3
32160.0,97.72,92.6,6710.0,4114.6
32280.0,97.87,93.1,6710.0,4070.2
32400.0,97.28,93.7,6710.0,4032.7
32520.0,96.91,95.4,6710.0,3581.6
32640.0,96.6,96.5,6710.0,2909.5
32760.0,96.6,96.3,6710.0,3680.4
32880.0,91.48,94.3,6710.0,4121.5
33000.0,84.62,90.8,6244.9,4218.0
33120.0,91.53,89.8,6244.9,4083.3
33240.0,95.63,89.7,6244.9,3989.0
33360.0,95.63,89.7,6140.3,4006.8
33480.0,95.99,90.5,6140.3,4086.1
33600.0,96.79,92.2,6246.9,4141.4
33720.0,97.17,94.8,6246.9,4204.6
33840.0,97.17,95.9,6246.9,4237.7
33960.0,97.17,96.8,6615.2,4249.2
34080.0,96.71,97.3,7104.1,4249.2
34200.0,96.56,98.4,7423.8,4267.6
34320.0,97.09,98.9,7313.4,4363.9
34440.0,97.55,99.1,6421.3,4366.9
34560.0,97.71,99.1,6893.1,4366.9
34680.0,97.71,99.1,7413.0,4340.6
34800.0,97.38,99.1,8146.9,4340.6
34920.0,97.21,99.1,8402.6,4363.7
35040.0,97.21,99.1,8291.1,4410.4
35160.0,97.55,99.1,8291.1,4425.8
35280.0,97.85,99.1,8291.1,4395.4
35400.0,97.52,99.1,8291.1,4378.1
35520.0,97.16,99.1,8291.1,4351.9
35640.0,96.98,99.1,8291.1,4395.9
35760.0,97.37,99.1,8291.1,4446.3
35880.0,97.7,99.1,8291.1,4462.5
36000.0,97.85,99.1,8394.5,4462.3
36120.0,97.85,99.1,8790.0,4462.3
36240.0,97.69,99.1,9050.5,4480.4
36360.0,97.69,99.1,9050.5,4498.3
36480.0,97.55,99.1,9168.2,4475.9
36600.0,97.55,99.1,9159.6,4464.0
36720.0,97.55,99.1,9159.6,4465.2
36840.0,97.7,99.1,9159.6,4481.5
36960.0,97.7,99.1,9523.1,4504.1
37080.0,97.85,99.1,9523.1,4518.9
37200.0,97.85,99.1,9646.4,4518.9
37320.0,97.85,99.1,9646.4,4489.0
37440.0,97.51,99.1,9887.4,4467.0
37560.0,97.16,99.1,9887.4,4444.0
37680.0,96.63,99.1,9887.4,4402.5
37800.0,96.03,99.1,9779.7,4336.6
37920.0,95.87,99.1,9779.7,4336.6
38040.0,95.72,99.1,9779.7,4336.6
38160.0,95.72,99.1,9779.7,4336.6
38280.0,95.72,99.1,9779.7,4316.5
38400.0,95.56,99.1,9779.7,4296.8
38520.0,95.07,99.1,9779.7,4199.0
38640.0,94.5,99.1,9779.7,4121.5
38760.0,93.87,99.1,9652.4,4074.9
38880.0,93.51,99.1,9361.1,4021.0
39000.0,93.17,99.1,9002.1,4003.3
39120.0,93.17,99.1,8461.0,3981.8
39240.0,92.84,99.1,7964.8,3933.4
39360.0,92.5,98.7,7018.2,3857.4
39480.0,92.17,98.1,6405.0,3789.4
39600.0,91.42,95.2,5454.8,3703.7
