time,PT-04C,PT-04B,PT-04A,DPT-07
4560.0,24.0,24.3,24.2,24.1
4590.0,23.9,24.2,24.2,24.0
4620.0,23.9,24.2,24.2,23.9
4650.0,23.9,24.2,24.2,23.9
4680.0,23.9,24.2,24.2,23.9
4710.0,24.0,24.3,24.2,24.0
4740.0,24.0,24.3,24.2,24.0
4770.0,23.9,24.2,24.2,23.9
4800.0,23.9,24.2,24.2,23.8
4830.0,23.9,24.2,24.2,23.9
4860.0,23.9,24.2,24.2,23.9
4890.0,23.9,24.2,24.2,23.9
4920.0,23.9,24.2,24.0,23.9
4950.0,24.1,24.3,24.6,24.0
4980.0,24.0,24.3,24.1,24.2
5010.0,23.7,24.0,24.2,24.2
5040.0,24.0,24.3,24.1,24.2
5070.0,23.8,24.1,24.2,24.2
5100.0,23.9,24.2,24.2,24.3
5130.0,23.9,24.2,24.2,24.4
5160.0,23.9,24.2,24.2,24.5
5190.0,23.9,24.2,24.2,24.5
5220.0,23.9,24.2,24.2,24.5
5250.0,23.9,24.2,24.2,24.5
5280.0,23.9,24.2,24.2,24.6
5310.0,23.9,24.2,24.2,24.6
5340.0,23.9,24.2,24.2,24.5
5370.0,23.9,24.2,24.2,24.4
5400.0,23.9,24.2,24.2,24.6
5430.0,23.9,24.2,24.2,24.7
5460.0,23.9,24.2,24.2,24.6
5490.0,23.8,24.1,24.1,24.5
5520.0,23.8,24.1,24.1,25.3
5550.0,23.7,24.0,23.9,25.2
5580.0,23.7,24.0,23.9,25.0
5610.0,23.5,23.9,23.8,24.8
5640.0,23.5,23.9,23.8,24.6
5670.0,23.4,23.7,23.7,24.5
5700.0,23.4,23.7,23.6,24.4
5730.0,23.3,23.6,23.6,24.7
5760.0,23.1,23.4,23.4,24.4
5790.0,23.0,23.3,23.3,24.3
5820.0,23.0,23.3,23.2,24.2
5850.0,22.9,23.2,23.1,24.0
5880.0,22.7,23.1,22.9,24.0
5910.0,22.6,22.9,22.8,23.9
5940.0,22.5,22.8,22.7,23.9
5970.0,22.4,22.7,22.5,23.9
6000.0,22.2,22.5,22.4,23.9
6030.0,21.9,22.2,22.1,23.9
6060.0,21.9,22.2,22.3,24.0
6090.0,22.0,22.3,22.3,24.1
6120.0,22.0,22.3,22.3,24.2
6150.0,22.0,22.3,22.3,24.4
6180.0,22.0,22.3,22.3,24.5
6210.0,22.0,22.3,22.3,24.8
6240.0,22.0,22.3,22.3,25.0
6270.0,22.0,22.3,22.3,25.3
