time,CTWPs
0.0,3
1562.0,3
1563.0,4
6015.0,4
6016.0,3
10457.0,3
10458.0,2
21361.0,2
21362.0,3
21601.0,3
21602.0,4
22337.0,4
22338.0,3
26659.0,3
26660.0,2
29644.0,2
29645.0,3
30005.0,3
30006.0,4
31577.0,4
31578.0,3
39621.0,3
39622.0,2
42005.0,2
42006.0,3
42125.0,3
42126.0,4
43938.0,4
43939.0,3
46463.0,3
46464.0,2
66127.0,2
66128.0,3
66488.0,3
66489.0,4
67704.0,4
67705.0,3
68425.0,3
68426.0,2
69371.0,2
69372.0,3
70343.0,3
70344.0,2
71050.0,2
71051.0,3
71787.0,3
71788.0,2
72367.0,2
72368.0,3
72848.0,3
72849.0,4
77667.0,4
77668.0,3
77787.0,3
77788.0,2
81849.0,2
81850.0,3
82089.0,3
82090.0,4
83306.0,4
83307.0,3
84853.0,3
84854.0,4
86400.0,4
